TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
10332,1,0.750813449,0,0.476686066,0,0,0,0.139892327,0,1,0.803456871,1,1,0,0.025665781,1,1,0.774911415,0,1,0,0.958726105,0,1,1
10867,0.993785201,0.747017354,0.005003668,0.470968846,0.003779871,0.000894095,0.002142194,0.138513177,0.003306485,0.992322754,0.805791806,0.99738984,0.996757489,0.006026321,0.036797771,0.998474925,0.993792033,0.776816462,0.002127171,0.999326729,0.003214404,0.95741165,0.001256147,0.992247415,0.987138854
10875,0.987311452,0.742859725,0.010007336,0.465354331,0.007279752,0.001937205,0.00452241,0.137300189,0.006498558,0.985160758,0.808068367,0.994639349,0.993547242,0.011551547,0.047690015,0.997044428,0.987494096,0.778281882,0.004348189,0.998685518,0.006362532,0.956284974,0.0026192,0.984661808,0.976252813
10887,0.980643491,0.738340564,0.014966328,0.45984252,0.010499643,0.003427362,0.006664604,0.136220132,0.00956478,0.97856554,0.810286555,0.991776593,0.990369259,0.016602052,0.058355472,0.995696687,0.98112868,0.779380948,0.006600488,0.998108429,0.009433337,0.955270966,0.00400898,0.977267035,0.967192596
10909,0.974040267,0.733640636,0.019835969,0.454501883,0.013579538,0.004768504,0.009044819,0.13520654,0.012585236,0.972434048,0.812485285,0.98888577,0.987352595,0.020848168,0.068930214,0.994408058,0.974605817,0.780113658,0.008790223,0.99759546,0.012415774,0.954895407,0.00539876,0.970206219,0.959602223
10929,0.966919143,0.727404194,0.024258854,0.449092776,0.015959457,0.00700374,0.011425035,0.134442192,0.015125166,0.968312036,0.814372691,0.985966882,0.984626305,0.023854735,0.078669086,0.993344052,0.968307879,0.779380948,0.011271923,0.997194704,0.015122059,0.95523341,0.006548001,0.96376561,0.956019475
10949,0.959927494,0.721077368,0.028637063,0.443923314,0.018339376,0.009089961,0.014043272,0.133661228,0.017630772,0.9643446,0.81631847,0.98307606,0.982109729,0.026676689,0.088258926,0.992327335,0.961942464,0.778574967,0.013638923,0.996842038,0.017795206,0.95613475,0.007617062,0.957658958,0.95345873
10967,0.952871108,0.717190889,0.033417353,0.439301609,0.022119248,0.009537008,0.016423488,0.132431624,0.020937257,0.957594806,0.818945271,0.979876509,0.979641549,0.031529393,0.098593922,0.991062351,0.954879777,0.780113658,0.015453275,0.996184797,0.020921242,0.957636985,0.008980115,0.951385327,0.947498967
10969,0.946267884,0.714479393,0.038197643,0.435398836,0.026739091,0.008791929,0.018565682,0.130886312,0.024792916,0.949402308,0.822097433,0.976424361,0.977270161,0.037595274,0.109395451,0.989631854,0.947209789,0.783557396,0.01682968,0.995415344,0.024312383,0.959665002,0.010530254,0.945040135,0.93971338
10989,0.93940571,0.711767896,0.042754555,0.431701472,0.031498929,0.007897835,0.020707876,0.129340999,0.02870578,0.94120981,0.825269053,0.972944148,0.975043959,0.04316006,0.12020346,0.988213179,0.939337367,0.787001134,0.018091385,0.994677952,0.027670386,0.9622188,0.01210712,0.938909629,0.932593817
11009,0.932284586,0.708875633,0.047132764,0.428175282,0.036258767,0.006854725,0.02285007,0.127795686,0.032687291,0.933068838,0.828479588,0.969407802,0.972930681,0.048263312,0.131063306,0.986782683,0.931240019,0.790518143,0.019248817,0.99395659,0.031017342,0.965298381,0.013710712,0.932874539,0.926128795
11029,0.925033987,0.705802603,0.051555649,0.424580623,0.04087861,0.00596063,0.024992264,0.126333455,0.036588714,0.92508244,0.831592834,0.96584339,0.970752876,0.053577551,0.141294628,0.985375831,0.923322612,0.794181695,0.020479239,0.993139047,0.034298023,0.968265295,0.015394484,0.926982575,0.919767121
