TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
10680,1,0,1,0,0,0,1,0,0.988509198,0.458403835,0,0,1,0.898274593,1,1,1,0.426389822,0.009912957,1,1,0,0,0,0.0948654
11214,0.985078676,0.004231867,0.997494432,0.003798346,0.000458552,0.002298948,0.997095645,0.001869062,0.988747296,0.44749953,0.00937133,0.005489641,0.998262787,0.900680939,0.996669571,0.999514755,0.998092242,0.422395826,0.010030689,0.996648416,0.99695596,0.002087494,0.002644894,0.004105111,0.091353459
11215,0.970157352,0.008365318,0.994988864,0.007596693,0.000917104,0.004597895,0.99419129,0.003790042,0.988943985,0.436971235,0.018586871,0.01078252,0.996358534,0.902972697,0.993254827,0.999098831,0.996184484,0.418224621,0.010030689,0.993322417,0.99389002,0.0041356,0.005289788,0.00825968,0.08765517
11235,0.955778622,0.012695601,0.992413697,0.01172533,0.001324706,0.006896843,0.991286935,0.005659104,0.98881976,0.425784922,0.027359011,0.016075399,0.994370761,0.904777456,0.9893623,0.998960189,0.994209786,0.413630843,0.010124873,0.989996418,0.990933579,0.006104934,0.007953849,0.012513169,0.084200568
11256,0.940857298,0.016730637,0.989629733,0.015578725,0.001834208,0.009132516,0.988433534,0.007476247,0.989233843,0.415961647,0.036430746,0.021230545,0.992666956,0.907126508,0.986172395,0.998544265,0.992302028,0.409268799,0.010226907,0.986696004,0.987867639,0.008074268,0.010598743,0.016717197,0.080588286
11276,0.925935974,0.020568842,0.986845768,0.019156877,0.00239466,0.011326008,0.985529179,0.009241472,0.989958488,0.406514382,0.045574383,0.026297149,0.991113487,0.909991205,0.983291644,0.99805902,0.99039427,0.405111225,0.010234756,0.983472343,0.9847798,0.010043601,0.013224471,0.020921226,0.076976004
11296,0.91101465,0.024308631,0.983922606,0.022514836,0.002955113,0.013477316,0.982726731,0.010954779,0.990931583,0.397631134,0.054765956,0.031245696,0.989576721,0.91317102,0.980762205,0.997365812,0.98858692,0.401362594,0.010179815,0.980299852,0.981648162,0.012012935,0.015831033,0.024976878,0.073406726
11313,0.896364623,0.027851589,0.981069042,0.025542503,0.00354104,0.015586443,0.979924283,0.012616167,0.992184184,0.389358902,0.064113319,0.036086024,0.988073364,0.916637304,0.978584076,0.996533964,0.986846509,0.398022903,0.01008563,0.977152945,0.978516523,0.013982268,0.018380098,0.028933611,0.069823113
11314,0.881443299,0.031492963,0.978424276,0.028790364,0.004152443,0.017674477,0.977121835,0.014381392,0.992981294,0.380240647,0.073065216,0.041260846,0.987188053,0.919616589,0.975647115,0.995910077,0.985139568,0.394792264,0.010069932,0.974031623,0.975472483,0.015833442,0.020909997,0.032939803,0.06598148
11316,0.867335865,0.035429584,0.97577951,0.032313468,0.00468742,0.019783604,0.974370341,0.016146618,0.99331256,0.369806355,0.081549745,0.046671782,0.986336151,0.922022935,0.97199348,0.995702115,0.983399157,0.391398049,0.010195512,0.970935885,0.972559841,0.017684615,0.023459062,0.036896536,0.062526877
11336,0.853228432,0.039366204,0.973273942,0.036056766,0.005145972,0.021913821,0.971567893,0.018015679,0.993343616,0.359184057,0.089626825,0.051954824,0.985049945,0.9237704,0.968115005,0.995563474,0.981591807,0.387799362,0.010305394,0.967840147,0.969734796,0.019457015,0.02598896,0.040853269,0.058871592
11356,0.838578405,0.043302825,0.970977171,0.039800064,0.005604524,0.02406513,0.968816399,0.019988578,0.993188335,0.348608761,0.097536131,0.057228027,0.983546587,0.92528869,0.963941429,0.995424832,0.979817926,0.384105256,0.010305394,0.964693241,0.966931651,0.021111256,0.028461362,0.044859462,0.054800608
11376,0.823928378,0.047042614,0.968680401,0.043378216,0.006088551,0.026153165,0.966064905,0.02185764,0.993209039,0.338127468,0.105445438,0.062461877,0.982176862,0.927036155,0.960020798,0.995286191,0.978110985,0.380765566,0.010289697,0.961623088,0.964150406,0.022804882,0.030914597,0.048766736,0.050758292
11396,0.809549647,0.050782403,0.96638363,0.046681126,0.006598054,0.028220108,0.963364364,0.02377862,0.993447137,0.327646174,0.11340268,0.067695728,0.980857248,0.929385207,0.956493634,0.995008908,0.976404043,0.377807555,0.010124873,0.958578519,0.961369161,0.024498509,0.033367832,0.052525632,0.046816318
11413,0.795442214,0.054423777,0.96408686,0.049763842,0.007133031,0.030265961,0.960663823,0.0256996,0.993923333,0.317399887,0.121539678,0.072998446,0.979554338,0.932364493,0.953388044,0.994592983,0.97476404,0.375272117,0.009858016,0.955559535,0.958566016,0.026192136,0.035782735,0.05618561,0.043046358
11414,0.781877374,0.058557229,0.961929287,0.053066752,0.007515158,0.032375087,0.957963283,0.02762058,0.993799108,0.306307577,0.129293196,0.078192944,0.977599973,0.934770839,0.949607937,0.994523663,0.973023629,0.372286843,0.00958331,0.952514967,0.955938068,0.02792515,0.038216805,0.05974667,0.039806772
11416,0.767498644,0.062297018,0.959841314,0.056259565,0.007948235,0.034463122,0.955313696,0.029645397,0.99391298,0.295638278,0.137010761,0.08334809,0.975428457,0.937664183,0.946333717,0.99424638,0.971316688,0.369601459,0.008994655,0.949470399,0.953266321,0.029500616,0.040650874,0.063357189,0.036036811
11436,0.7542051,0.066135223,0.957683742,0.058956941,0.008355836,0.036508974,0.952664109,0.031566378,0.99435812,0.285485994,0.145087841,0.088296637,0.973140013,0.941273702,0.943579438,0.993761135,0.969676685,0.367379543,0.008319663,0.946502584,0.950594573,0.03123363,0.043065777,0.066769871,0.032854563
11456,0.74064026,0.069973428,0.955734967,0.06154422,0.008763438,0.038575918,0.950065475,0.033487358,0.994823963,0.275662719,0.15322484,0.093156642,0.970601009,0.945141043,0.940951631,0.993067927,0.968070152,0.365375729,0.007424907,0.943534769,0.947922826,0.03288787,0.045480681,0.070083635,0.029571973
11476,0.727075421,0.073811633,0.953786192,0.063911306,0.00917104,0.040600679,0.947466842,0.035408338,0.995382975,0.265933446,0.161421758,0.097987132,0.968095413,0.949352149,0.938520559,0.992444041,0.966497088,0.363603648,0.006443815,0.940618124,0.945251079,0.034581497,0.047876418,0.07334794,0.026375391
