TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
123610,0,1,0,0.082014736,0.959150714,0.162979115,0.532874899,0.51492392,0.587028895,0.171628771,1,0.513771158,0.980883237,0.634242389,1,0.001556412,0.93917099,0.998741937,0.000843677,0.846161035,0.993426645,0.018619176,0.862480408,0.052509616,0.568378967
123630,0.00060045,0.998344097,0.001180916,0.080623143,0.956778408,0.165800894,0.535433304,0.522072218,0.588348581,0.167403009,0.996845738,0.51535545,0.975149332,0.635235035,0.999394666,0,0.939667149,1,0,0.846789476,0.994133946,0.017051245,0.864235414,0.05009822,0.577945954
123650,0.001200901,0.997770899,0.002614886,0.081492475,0.953073961,0.17086727,0.537749494,0.528431737,0.586982211,0.159528366,0.989265602,0.516249154,0.969317426,0.634281572,0.996487648,0.002138743,0.9374557,0.997770948,0.002454333,0.846741134,0.995937887,0.015417984,0.866178061,0.050415819,0.585478171
123670,0.001851389,0.998344097,0.004344085,0.084216163,0.949214402,0.175356463,0.540126237,0.531784043,0.583228701,0.148947546,0.978019256,0.516723087,0.965574081,0.631767303,0.991187599,0.007549128,0.933046979,0.99197879,0.008360071,0.845758189,0.998488063,0.013980714,0.868440804,0.052933081,0.590368757
123690,0.002551914,0.998853605,0.005820231,0.087452195,0.946203398,0.177344535,0.54330532,0.53079807,0.579745539,0.140622655,0.966327019,0.516167908,0.96433701,0.628848138,0.986157732,0.013626546,0.928198804,0.985409842,0.016758491,0.845854872,0.999889687,0.013196749,0.870085432,0.055685601,0.593795738
123705,0.003252439,0.999235737,0.007043323,0.091111324,0.944168689,0.176553582,0.547301882,0.52552312,0.576714581,0.134928898,0.95440358,0.514529452,0.965831135,0.625622037,0.981522199,0.020243944,0.923052933,0.978114762,0.027547329,0.847369574,1,0.012870097,0.871067794,0.058696905,0.595759112
123709,0.003952965,0.999426803,0.008055537,0.095329074,0.943082903,0.173282883,0.552176476,0.516205684,0.573926797,0.131453549,0.941885621,0.511861882,0.969943994,0.621951857,0.977128543,0.027549551,0.917481784,0.970017562,0.040777717,0.849915563,0.998929315,0.012935427,0.871421003,0.0621552,0.595402135
123711,0.00465349,0.997961965,0.008350766,0.097269371,0.944597529,0.16449689,0.557944241,0.503807085,0.574944781,0.134722535,0.934569716,0.508612051,0.97670772,0.620129828,0.97613788,0.030810605,0.914845057,0.96521328,0.053011032,0.854717492,0.995042406,0.013980714,0.870173735,0.062766871,0.595866205
123731,0.005454091,0.995223356,0.008182064,0.097570166,0.947508166,0.152974625,0.564347823,0.490176021,0.578930316,0.142512757,0.931151223,0.504847664,0.984748682,0.61958779,0.977945519,0.030937659,0.91458989,0.963482387,0.064336755,0.861759246,0.988968704,0.015548645,0.867657123,0.06130827,0.597365509
123750,0.006354766,0.992484747,0.007971186,0.098244477,0.949524626,0.14361145,0.570721128,0.47854155,0.582994586,0.148314385,0.927121695,0.501150982,0.991602376,0.618836775,0.980058719,0.031583517,0.914122083,0.962435408,0.075317338,0.869477782,0.983024781,0.017051245,0.865118435,0.059790856,0.599864349
123765,0.007255442,0.990765155,0.008182064,0.100829336,0.949104911,0.139613929,0.576367785,0.470555176,0.584471046,0.148684902,0.91888098,0.497454299,0.995220407,0.616570667,0.979928775,0.035405726,0.911315245,0.959100274,0.086962635,0.875842755,0.979222229,0.01776988,0.863584185,0.060602496,0.602113305
123770,0.008206155,0.990000892,0.008730346,0.104693403,0.947380427,0.138181663,0.581469457,0.464023111,0.583958222,0.145439367,0.907750235,0.493730535,0.997384478,0.613292321,0.977849025,0.041493732,0.90684982,0.953654294,0.099183167,0.880902505,0.977002991,0.018096532,0.862988145,0.0628845,0.604255167
123790,0.00910683,0.990128269,0.00974256,0.109925925,0.944332926,0.139442912,0.58605642,0.459167199,0.581304914,0.138366727,0.893547801,0.490060934,0.99814118,0.608942962,0.97368052,0.049995765,0.900640753,0.945979263,0.111940585,0.884512008,0.976438449,0.017965871,0.863341354,0.066813311,0.605647378
123805,0.009957468,0.990637778,0.011007828,0.114672546,0.941358419,0.140682785,0.590355752,0.455519102,0.57798619,0.130609335,0.879477483,0.487542316,0.99834361,0.60524666,0.968321932,0.058328392,0.894686853,0.938236685,0.122141405,0.886348987,0.977282018,0.017377897,0.865339191,0.070153976,0.608181916
123806,0.010607956,0.990000892,0.012020042,0.116824392,0.940482491,0.137882383,0.594912437,0.451082228,0.577350734,0.128967807,0.870278929,0.48549763,0.999505172,0.603725037,0.964996134,0.062574115,0.891639024,0.933440846,0.12901865,0.888379333,0.976951079,0.016985915,0.867138347,0.070918565,0.611715989
123809,0.011258444,0.988472366,0.012863554,0.117019413,0.940409497,0.134013126,0.599363154,0.448296856,0.578647426,0.129441505,0.864597956,0.484251862,0.999987147,0.603849118,0.96331072,0.063759953,0.89077429,0.931481982,0.132649018,0.890296882,0.976165911,0.016659263,0.868749862,0.069554068,0.616892157
123810,0.011858894,0.986052199,0.013496187,0.115122087,0.941294549,0.128711601,0.603753316,0.447064391,0.582090176,0.132719871,0.862748336,0.483777928,1,0.605703799,0.963471542,0.061705912,0.892262765,0.932520517,0.132955809,0.892407797,0.974764287,0.016463271,0.870107508,0.065966382,0.623888909
123811,0.01255942,0.982485638,0.013875768,0.110944002,0.942772678,0.123003912,0.60803751,0.448222909,0.588230827,0.138915466,0.86539065,0.484035206,0.998798274,0.609478469,0.966199082,0.055861426,0.896458847,0.937544328,0.129670583,0.895324404,0.972363358,0.016463271,0.870869114,0.059755567,0.633313105
123831,0.013259945,0.978919077,0.014339699,0.106276712,0.943329258,0.119925608,0.611897825,0.453349963,0.594407709,0.143150608,0.868396281,0.485565335,0.995146505,0.613925787,0.968939488,0.04967813,0.900952624,0.943944409,0.123560317,0.897386977,0.971085025,0.015940628,0.872513742,0.052709586,0.644914861
123851,0.013910433,0.975288828,0.015056684,0.101030969,0.943165021,0.119327048,0.615334262,0.462544153,0.600724643,0.145917755,0.87194689,0.488395396,0.98921499,0.619104528,0.971769955,0.042859563,0.905985087,0.951796751,0.114369352,0.898627744,0.970715152,0.01476468,0.874975165,0.044969593,0.657658944
123871,0.014610958,0.972741284,0.016111074,0.097804853,0.940692348,0.123410077,0.618225714,0.473636339,0.604353431,0.144581082,0.871385398,0.490724441,0.980312899,0.622689811,0.972400377,0.039312638,0.908380823,0.956761458,0.10639277,0.8986922,0.972259534,0.012935427,0.878407912,0.039640996,0.670081748
123891,0.015261446,0.97159489,0.017587219,0.096552089,0.936741546,0.130250754,0.620753842,0.485221511,0.605039751,0.138859185,0.866612719,0.493188896,0.970442036,0.624799185,0.97023893,0.039333813,0.908224887,0.95841636,0.09992458,0.89714527,0.975757104,0.010518201,0.883176229,0.03658264,0.681612109
123906,0.015911934,0.971021692,0.019274243,0.096016607,0.933055348,0.136065328,0.623327386,0.49478544,0.604411263,0.132635449,0.860419798,0.495748138,0.96208779,0.626412236,0.96655289,0.040858462,0.907119163,0.958095511,0.094773038,0.894905444,0.979819217,0.008035644,0.888684077,0.034500606,0.692250027
123910,0.016462347,0.969747921,0.020581686,0.09426472,0.931312615,0.137476218,0.626324807,0.500947766,0.605453633,0.130553054,0.857050848,0.497901151,0.956368345,0.628782832,0.964314249,0.040254955,0.907544442,0.958593671,0.090375692,0.893471311,0.982233124,0.006271722,0.892944657,0.031548116,0.702173991
123912,0.017112835,0.967837263,0.021636075,0.091550948,0.930756036,0.136450117,0.629443336,0.50572973,0.607883277,0.130449872,0.856026952,0.499851049,0.952400078,0.631662814,0.963484407,0.03788328,0.909330612,0.96024013,0.086655844,0.893116806,0.983212962,0.005095774,0.895803439,0.02796043,0.71170528
123931,0.017663247,0.965226031,0.022479587,0.087865376,0.931412982,0.13309391,0.632773805,0.509229931,0.611713292,0.132574478,0.857348108,0.501516588,0.950070529,0.635019526,0.964121262,0.033605794,0.912534377,0.963068662,0.083498447,0.893664677,0.982700332,0.004573131,0.897172123,0.023831649,0.720094242
123951,0.018363773,0.961723158,0.022901343,0.083449299,0.933064472,0.1276855,0.636119411,0.511349771,0.617272626,0.136518835,0.860849173,0.502654028,0.94971708,0.638591748,0.966765175,0.027771896,0.91697145,0.967366341,0.082347978,0.896146211,0.980169622,0.004965114,0.896278064,0.01930293,0.727983436
123966,0.019064298,0.958602418,0.02340745,0.080104188,0.934150258,0.123581094,0.639177386,0.51351891,0.621798717,0.137935239,0.862434561,0.503507109,0.949813475,0.641047242,0.968746502,0.023526173,0.920387854,0.970439731,0.083690192,0.898627744,0.977625935,0.005487757,0.894633436,0.016444544,0.733587977
123971,0.019814861,0.95580012,0.023955733,0.077757321,0.934579098,0.120673807,0.641841761,0.515564802,0.625344867,0.136922182,0.862335475,0.504008125,0.950279385,0.642431723,0.970129571,0.020762748,0.922840294,0.972297274,0.087512304,0.901367099,0.975082248,0.006271722,0.892271353,0.015068284,0.737943098
123991,0.020615462,0.954462659,0.024925771,0.078163891,0.932471395,0.122747387,0.643900596,0.518966405,0.625497948,0.13088605,0.856704044,0.503574814,0.948142626,0.641589279,0.96867574,0.02241445,0.921819625,0.970169543,0.093916578,0.902736777,0.974569617,0.006467714,0.89084748,0.016938586,0.740691822
124006,0.021416062,0.954781102,0.026444092,0.081062767,0.928721327,0.127621369,0.645353891,0.521948971,0.622158181,0.120419199,0.846035704,0.50268111,0.945443562,0.638768073,0.963934709,0.028311875,0.917637719,0.963744132,0.102928581,0.902511183,0.97591284,0.006271722,0.890637762,0.021702563,0.741298683
124010,0.0222667,0.955226922,0.027920238,0.084536791,0.925235862,0.131405118,0.646792048,0.52268845,0.618400623,0.1104434,0.834558156,0.501232227,0.944270755,0.635365647,0.958859168,0.035162206,0.91280372,0.956102874,0.114254305,0.902656208,0.976866722,0.006402383,0.889975496,0.027325233,0.740798915
124012,0.0230673,0.955863808,0.029354207,0.088632239,0.921996752,0.134312405,0.648215066,0.521382037,0.614142727,0.100584384,0.822155797,0.499255247,0.944624204,0.631349346,0.953333325,0.042954853,0.907317626,0.947186666,0.127778701,0.902962371,0.97739882,0.006794366,0.888871719,0.033947749,0.738192982
124031,0.023817863,0.956500694,0.030703826,0.093170617,0.919277724,0.135915689,0.649713777,0.517832538,0.609712303,0.091892259,0.809208462,0.496628301,0.946487843,0.626862845,0.947698123,0.051319244,0.901406254,0.937198149,0.143399507,0.903590811,0.977275529,0.00738234,0.887171902,0.041452484,0.733373791
124051,0.024518389,0.957328646,0.031969094,0.098307281,0.916850672,0.136514248,0.651242764,0.512286445,0.604841171,0.083574872,0.795418889,0.493446175,0.949958068,0.621795123,0.941664083,0.060668304,0.894800261,0.925968456,0.161321249,0.904605984,0.976749921,0.008166305,0.885041612,0.049921777,0.727126691
124071,0.025218914,0.956946514,0.032728254,0.101179714,0.916531324,0.132602236,0.653286461,0.50466981,0.602903448,0.081054424,0.786302908,0.49014218,0.954842089,0.61855596,0.938010208,0.066279858,0.89084517,0.917423756,0.177299978,0.906410736,0.974628018,0.009538244,0.882260094,0.055732653,0.722521686
124091,0.025969477,0.954972168,0.032896957,0.101387957,0.918383547,0.124585818,0.655723758,0.496535541,0.604590333,0.083261106,0.782735785,0.487582938,0.961798605,0.617386988,0.937592071,0.067529222,0.89039154,0.913193624,0.19123343,0.910084694,0.970311537,0.011563488,0.878131968,0.058461647,0.719915753
124106,0.02672004,0.952233559,0.032981308,0.100343436,0.920518623,0.116911435,0.658100501,0.491186642,0.607940412,0.086265571,0.78167886,0.485335139,0.967582313,0.61717801,0.938891512,0.066428087,0.891639024,0.911471174,0.202942643,0.914387093,0.965332529,0.013719393,0.87336365,0.059708515,0.718380752
124110,0.027570678,0.950004458,0.033445239,0.099966615,0.920938338,0.113512474,0.659856566,0.490397864,0.610071837,0.084612787,0.778854887,0.484035206,0.970586629,0.616551076,0.939168126,0.066576317,0.892121006,0.909714952,0.213181812,0.917690434,0.961908933,0.015091332,0.869467317,0.061437662,0.717702495
124112,0.028371278,0.947902735,0.034077873,0.099725317,0.920591617,0.112101584,0.661385553,0.491926121,0.611708694,0.081873312,0.775403366,0.482924848,0.971534514,0.615930671,0.938897945,0.066999831,0.892347821,0.907891182,0.221887024,0.920091398,0.959525524,0.016071289,0.866465043,0.063202099,0.717845286
124131,0.029221916,0.946183143,0.034837034,0.099583183,0.919423712,0.112464995,0.66262691,0.495623516,0.612851748,0.077929564,0.771489439,0.482125931,0.970538431,0.615349451,0.938087402,0.067719803,0.892319469,0.905991422,0.229122193,0.921896149,0.958242001,0.016659263,0.86440098,0.064837143,0.719844358
124151,0.030022517,0.944654617,0.035764896,0.099507158,0.917352506,0.115008872,0.663580635,0.501218908,0.613448603,0.072779623,0.766980992,0.481638456,0.967501984,0.614735577,0.936691468,0.06871506,0.892007598,0.903990341,0.235002365,0.922589045,0.958059011,0.016855254,0.863186825,0.066331032,0.722950059
124166,0.030723042,0.944399862,0.037409744,0.100677286,0.913629811,0.121229612,0.664095343,0.509599671,0.611305123,0.063544481,0.759054052,0.482058226,0.962007461,0.613442524,0.932445768,0.07224081,0.88986703,0.899608227,0.23931023,0.92089709,0.960527426,0.015875297,0.864434093,0.06895416,0.726162853
124171,0.031323493,0.944145108,0.039096768,0.101090467,0.910545813,0.125889822,0.664806853,0.516920513,0.609308872,0.056504671,0.75208495,0.483087339,0.95693065,0.612926609,0.927884857,0.075004235,0.888378555,0.895420311,0.241956308,0.918431671,0.963493547,0.014699349,0.866895516,0.070471575,0.730874951
124191,0.031823868,0.943253468,0.040615089,0.100065778,0.908428986,0.128968127,0.665760577,0.524438551,0.608835764,0.052027521,0.747642561,0.484820582,0.952094827,0.613697217,0.92453976,0.07561833,0.888477786,0.893064609,0.242454844,0.916062934,0.965936654,0.01339274,0.869434204,0.07024808,0.736479492
124206,0.032224168,0.941597565,0.041922532,0.097461087,0.907261081,0.130229376,0.666956518,0.531784043,0.610054418,0.050680062,0.746040659,0.487109005,0.947499992,0.615819652,0.922622762,0.0739031,0.890278132,0.892735317,0.240869754,0.913984247,0.967800295,0.012216793,0.871972891,0.06802489,0.744047407
124210,0.032624468,0.938540512,0.042723868,0.092241787,0.907872406,0.128412322,0.668576337,0.539154184,0.614618761,0.053242721,0.749591267,0.490412999,0.944335018,0.620012277,0.923799979,0.068069202,0.895338947,0.896627715,0.236919812,0.913355807,0.96777953,0.011498158,0.87336365,0.062637479,0.753614393
124212,0.033074806,0.935165017,0.043525204,0.086196125,0.90837424,0.127364843,0.670120463,0.548545568,0.619840997,0.055966719,0.754363946,0.494475288,0.939965105,0.62497551,0.925626916,0.061091818,0.901236143,0.901896383,0.230886244,0.912598456,0.96798004,0.010583532,0.875085543,0.056014962,0.764930568
124232,0.033475106,0.931471079,0.044368716,0.079446404,0.908830453,0.126830415,0.671997636,0.559489858,0.625858597,0.058778891,0.760226578,0.499106297,0.934454516,0.630715881,0.928193635,0.05305565,0.907941368,0.908676416,0.222449475,0.911873332,0.968333041,0.009407584,0.877337248,0.047933845,0.778031628
124251,0.033975482,0.927713452,0.045085701,0.073116474,0.909487399,0.125782937,0.674344102,0.569275631,0.631965802,0.0616586,0.765692864,0.503195667,0.92974722,0.63609054,0.931081997,0.045421819,0.914433954,0.915279138,0.215214307,0.912050585,0.968078024,0.008558288,0.879014989,0.040135038,0.790668618
124271,0.034575932,0.9246564,0.046097915,0.068611151,0.908556725,0.128262682,0.676705707,0.580811504,0.636280911,0.060285344,0.767625056,0.506960054,0.923529733,0.640028473,0.93274168,0.040562002,0.918941907,0.920218515,0.209474747,0.912066698,0.968701616,0.007317009,0.880836222,0.03419477,0.802056188
124292,0.03522642,0.923000497,0.047447534,0.066667548,0.905390609,0.134825456,0.679006758,0.592766416,0.637530919,0.054498724,0.764487309,0.509695328,0.914870236,0.642020297,0.931763882,0.039725563,0.92033115,0.921569455,0.205473673,0.911003184,0.971286184,0.005618418,0.883948873,0.030807053,0.813086781
124306,0.03582687,0.922490988,0.049261084,0.066687381,0.901695286,0.14205092,0.68159544,0.603193071,0.636168034,0.046250281,0.757369577,0.512335816,0.907190756,0.642575395,0.928155038,0.042203117,0.919579825,0.919762572,0.203300566,0.909117863,0.975062781,0.003462513,0.888341906,0.029560185,0.821904116
124311,0.03642732,0.921599348,0.050652878,0.066231229,0.899897808,0.144359649,0.685228678,0.608122931,0.635941583,0.042659087,0.751771176,0.513987813,0.902772646,0.643502736,0.925285974,0.043770117,0.919608177,0.917871255,0.20254637,0.908328284,0.977385842,0.001959913,0.892315504,0.027689883,0.830364474
124312,0.037077808,0.920452953,0.051918146,0.065844492,0.89889414,0.144787191,0.689452317,0.610760406,0.63623144,0.040904998,0.746519578,0.514989844,0.899912923,0.644332119,0.923008735,0.045146536,0.919792464,0.915946165,0.202917077,0.908553878,0.978703109,0.000849296,0.895593722,0.025819581,0.837932389
124332,0.037678259,0.919051804,0.053014711,0.065365202,0.898583916,0.143568695,0.693842479,0.611549184,0.63691985,0.040178504,0.741845986,0.51549086,0.898611589,0.645050481,0.921201096,0.046215907,0.920231919,0.913843764,0.204885656,0.909375685,0.979092449,0.000195991,0.897867503,0.024219825,0.844250884
124352,0.038278709,0.91745959,0.054026925,0.06479336,0.898967134,0.140725539,0.69835375,0.610366017,0.638019356,0.040385337,0.737766915,0.515504401,0.898836511,0.645638233,0.919882356,0.046978231,0.920912364,0.911589382,0.208477675,0.910713135,0.978534395,0,0.899103733,0.022878854,0.849070075
124367,0.038929197,0.914593603,0.054490856,0.06297867,0.901074837,0.134333782,0.70316779,0.606989063,0.641610518,0.044403328,0.736842105,0.5152065,0.901872958,0.647029244,0.921046707,0.045421819,0.923421508,0.911606268,0.213271293,0.914048703,0.975529989,0.000783965,0.898055145,0.020585087,0.852711241
124372,0.03987991,0.911600239,0.05474391,0.06120034,0.902963558,0.128262682,0.707769891,0.603587459,0.645801601,0.047864607,0.736478787,0.514353419,0.905134327,0.64824393,0.923105228,0.043632475,0.926114939,0.912264852,0.219432691,0.918431671,0.971656057,0.002286565,0.895571646,0.018397186,0.856352408
124392,0.04088066,0.909052696,0.055081315,0.060559083,0.903866859,0.123901751,0.712023807,0.600185856,0.648943345,0.049770655,0.734133734,0.512945159,0.90791372,0.648485561,0.924366072,0.043590124,0.927532534,0.911614712,0.227332575,0.922879095,0.968145509,0.003789166,0.892823241,0.017820804,0.858851248
124407,0.041881411,0.906823595,0.055545246,0.060978875,0.904012847,0.121058595,0.716020369,0.596685655,0.651176499,0.050355977,0.729922547,0.51098172,0.910371796,0.647819443,0.924938598,0.045083009,0.927816053,0.909833159,0.236932595,0.927181494,0.964809515,0.005291766,0.889666439,0.018891228,0.859208225
124411,0.042882162,0.906123021,0.05655746,0.064297543,0.901576671,0.123196306,0.719350837,0.594516516,0.649601098,0.046005459,0.719865242,0.508259986,0.910387862,0.6449264,0.922024504,0.051276893,0.924541408,0.903779256,0.248680157,0.929743596,0.96389846,0.006141061,0.887889357,0.023537577,0.857530432
