TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
89503,0.002421295,0.080315606,0.49007556,0.234494075,0.975059805,0.867964766,0.413484898,0.024997415,0.86892041,0.850012489,0.899689795,0.128750642,0.956388813,0.951317297,0.250276693,0.79571174,0.614064578,0.496036832,0.977239456,0.865468427,0.879295266,0.736506998,0.581333753,0.950007532,0.970391256
89504,0.002872157,0.079659866,0.490673755,0.233245874,0.976319238,0.868004504,0.413774505,0.024125719,0.870131618,0.851443023,0.900177211,0.128103016,0.957122198,0.952851801,0.245757936,0.795838097,0.618735377,0.490976059,0.974728316,0.859790849,0.877791157,0.737474142,0.582854745,0.948740441,0.970197034
89524,0.00272187,0.07960377,0.491309338,0.23284679,0.976828371,0.868925094,0.414047697,0.02306752,0.870185449,0.852354137,0.90098841,0.127564083,0.958329991,0.953757375,0.243642845,0.798855507,0.623436117,0.486007366,0.97139972,0.856665477,0.876008197,0.73699057,0.587837306,0.945940438,0.971040894
89544,0.003222828,0.079209166,0.491870147,0.231783272,0.977788172,0.869084045,0.414536629,0.022439088,0.871450489,0.853143201,0.901120709,0.12726216,0.95911838,0.954615401,0.240804617,0.799391262,0.627208685,0.483101289,0.969978522,0.850987899,0.876870102,0.737581603,0.590241173,0.943583473,0.971161445
89559,0.003172732,0.079342635,0.492879602,0.232171742,0.978026904,0.871087489,0.414406482,0.022143116,0.870777595,0.853918074,0.902572512,0.126700583,0.960007609,0.954950399,0.239826855,0.801989166,0.629441429,0.480383057,0.967344496,0.851442105,0.875813845,0.73682938,0.593466726,0.94377841,0.973217515
89564,0.00318943,0.079420008,0.49344041,0.232061357,0.978370386,0.872332605,0.414401792,0.022236368,0.871046753,0.854139466,0.90347075,0.126505842,0.960461391,0.95496985,0.239490749,0.802959589,0.630882875,0.479937385,0.966195783,0.84972261,0.876185648,0.737689063,0.594131068,0.943742967,0.975220006
89579,0.002671774,0.079905527,0.49344041,0.231995551,0.978311921,0.872845884,0.414578253,0.022128926,0.871046753,0.853302149,0.903394156,0.126720208,0.960706616,0.954381984,0.241799355,0.805319941,0.631913701,0.480935543,0.965661498,0.847624609,0.877436255,0.738280096,0.596027937,0.940996128,0.976659925
89584,0.002521487,0.080253708,0.493515185,0.232076217,0.978253456,0.873544606,0.414459244,0.022619509,0.870992921,0.852433611,0.903613493,0.126851544,0.960468266,0.953539087,0.244026481,0.80600227,0.630981253,0.48374954,0.965917955,0.846770269,0.879185415,0.73946216,0.594445756,0.941111318,0.978823151
89586,0.002671774,0.080203415,0.492991764,0.23191913,0.978341153,0.872988277,0.414213019,0.022868854,0.871100584,0.851372064,0.903199189,0.126881737,0.959581329,0.952719964,0.245822441,0.805410919,0.629112078,0.486788214,0.965982069,0.846424207,0.880410672,0.740429304,0.590031381,0.941448027,0.980323345
89599,0.002688473,0.079901658,0.492468342,0.231658027,0.979349674,0.871193457,0.413896445,0.022895208,0.871423573,0.850145892,0.901399232,0.12718517,0.957809746,0.952359031,0.247896792,0.804420278,0.626712519,0.489565378,0.966350726,0.847094702,0.881576779,0.741342718,0.585617007,0.939950557,0.979070951
