MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
-6.2405,-1.1877,-1.7902,-4.5049,-0.20647,-2.4046,-1.1962,1.7771,0.79939,-1.2478,-2.447,3.9664,0.72964,0.87888,2.0633,-0.67353,1.0719,0.21511,1.3208,0.47194,-0.97826,-0.15234,0.78402,-0.13891,-0.80853
-6.2398,-1.184,-1.7875,-4.4989,-0.20102,-2.3984,-1.1967,1.7806,0.79888,-1.2454,-2.4483,3.9653,0.72731,0.87427,2.0629,-0.67165,1.0785,0.19872,1.329,0.47405,-0.98267,-0.15135,0.77432,-0.15218,-0.81751
-6.2441,-1.1794,-1.7825,-4.4959,-0.19572,-2.3922,-1.1996,1.7839,0.79586,-1.2433,-2.4496,3.9623,0.72422,0.86957,2.0636,-0.66869,1.0853,0.18031,1.3391,0.4796,-0.98717,-0.14978,0.76448,-0.16625,-0.82745
-6.2398,-1.1775,-1.7831,-4.4885,-0.18832,-2.3843,-1.2034,1.7844,0.7941,-1.2426,-2.449,3.9603,0.72372,0.86414,2.0638,-0.66668,1.092,0.16594,1.347,0.47912,-0.99084,-0.14894,0.75606,-0.18017,-0.83476
-6.2349,-1.1741,-1.7837,-4.4807,-0.18132,-2.3764,-1.2052,1.7854,0.79408,-1.2417,-2.4492,3.9588,0.724,0.8579,2.0632,-0.66447,1.0978,0.15154,1.3541,0.47909,-0.9951,-0.14936,0.74859,-0.19313,-0.84257
-6.2315,-1.171,-1.7809,-4.4766,-0.17338,-2.3691,-1.2071,1.7864,0.79268,-1.2409,-2.45,3.9563,0.72307,0.85309,2.0639,-0.66169,1.1045,0.13507,1.361,0.48063,-0.99915,-0.15044,0.74091,-0.20698,-0.85199
-6.2324,-1.1699,-1.7766,-4.4753,-0.16988,-2.3662,-1.2076,1.7859,0.79209,-1.2417,-2.4487,3.9573,0.72016,0.84978,2.0628,-0.65724,1.1055,0.13205,1.3598,0.4784,-0.997,-0.14598,0.73757,-0.2142,-0.85167
-6.2345,-1.1684,-1.7721,-4.4759,-0.16597,-2.3628,-1.2092,1.7845,0.78971,-1.2428,-2.447,3.9574,0.71741,0.84623,2.0622,-0.65217,1.1067,0.12858,1.3594,0.47724,-0.99498,-0.14132,0.73426,-0.22155,-0.85139
-6.2379,-1.1668,-1.7674,-4.4783,-0.16171,-2.3588,-1.212,1.7821,0.78563,-1.244,-2.4448,3.9567,0.71481,0.84236,2.0622,-0.64651,1.1082,0.12452,1.3599,0.47711,-0.99319,-0.13647,0.731,-0.22919,-0.85114
-6.2445,-1.164,-1.7618,-4.4829,-0.15808,-2.3553,-1.2156,1.7799,0.7791,-1.2453,-2.4424,3.9552,0.71236,0.83797,2.0624,-0.64055,1.11,0.11908,1.3609,0.47923,-0.99133,-0.13142,0.72646,-0.23683,-0.85108
-6.243,-1.1642,-1.7613,-4.4802,-0.15454,-2.351,-1.2183,1.7777,0.7762,-1.2461,-2.4382,3.9566,0.71152,0.83357,2.0614,-0.6377,1.1103,0.11788,1.3606,0.47502,-0.98898,-0.12673,0.72324,-0.24351,-0.84835
-6.2482,-1.1629,-1.7578,-4.4807,-0.15219,-2.3476,-1.2232,1.7763,0.76972,-1.2471,-2.4339,3.9565,0.71009,0.8289,2.0612,-0.63454,1.1108,0.11401,1.3616,0.47503,-0.98622,-0.12172,0.71851,-0.2508,-0.84637
-6.2483,-1.1611,-1.7568,-4.4772,-0.1513,-2.3455,-1.223,1.7774,0.76773,-1.2471,-2.4308,3.9594,0.70917,0.82474,2.0577,-0.63227,1.1105,0.11141,1.36,0.47214,-0.98401,-0.1182,0.7143,-0.25559,-0.84395
-6.2484,-1.1604,-1.7544,-4.473,-0.15095,-2.3441,-1.2222,1.7792,0.76596,-1.2465,-2.4275,3.963,0.70792,0.82121,2.0554,-0.63238,1.1097,0.1089,1.3577,0.46893,-0.98099,-0.11507,0.70938,-0.26107,-0.84167
-6.2504,-1.1596,-1.7512,-4.4691,-0.15181,-2.3437,-1.2208,1.7823,0.76336,-1.245,-2.4241,3.967,0.70587,0.81828,2.0528,-0.63338,1.1089,0.10561,1.3558,0.46662,-0.97784,-0.11156,0.70347,-0.26633,-0.83967
-6.2489,-1.1588,-1.7519,-4.4631,-0.15264,-2.3432,-1.2189,1.7845,0.76109,-1.2444,-2.4199,3.972,0.70631,0.81379,2.0493,-0.63479,1.1079,0.10441,1.3518,0.46192,-0.97448,-0.10883,0.69703,-0.27062,-0.83564
-6.2508,-1.1575,-1.7499,-4.4602,-0.15417,-2.3439,-1.2165,1.7877,0.75681,-1.2432,-2.4161,3.9765,0.70564,0.81011,2.0468,-0.63659,1.1075,0.10126,1.348,0.45953,-0.97091,-0.10588,0.68896,-0.27534,-0.83277
